data.order;data.full_name;data.type_org;data.federal_district;data.region;data.city;data.address;data.year;data.inter_budget_transfer_amount;data.Kopuk;data.MapPosition;data.inn;geom;date_download
111;Муниципальное бюджетное учреждение культуры «Дом культуры и спорта г.Красавино;Дома культуры и клубы;Северо-Западный федеральный округ;Вологодская область;Красавино;162341, Вологодская обл., район Великоустюгский, город Красавино, проспект Советский, дом 152;2020;5700000;;;;POINT (46.481384 60.960193);25.09.2023
181;"Муниципальное бюджетное учреждение культуры ""Бабаевский центр культурного развития""";Дома культуры и клубы;Северо-Западный федеральный округ;Вологодская область;Бабаево;162480, Вологодская обл., район Бабаевский, город Бабаево, площадь Привокзальная, дом 3;2022;1000000;;;;POINT (35.949886 59.386477);25.09.2023
288;"Бюджетное учреждение дополнительного образования Сокольского муниципального района ""Сокольская школа искусств""";Учреждение образования;Северо-Западный федеральный округ;Вологодская область;Сокол;162130, Вологодская обл., район Сокольский, город Сокол, улица Советская, дом 30;2021;1000000;;;;POINT (40.131085 59.456884);25.09.2023
305;"Муниципальное бюджетное учреждение культуры ""Харовская централизованная библиотечная система имени В.И.Белова""";Библиотека;Северо-Западный федеральный округ;Вологодская область;Харовск;162250, Вологодская обл., район Харовский, город Харовск, улица Октябрьская, дом 10;2021;300000;;;;POINT (40.20693 59.951371);25.09.2023
339;Муниципальное казенное учреждение культуры «Вытегорская централизованная библиотечная система» ;Библиотека;Северо-Западный федеральный округ;Вологодская область;Вытегра;162900, ВОЛОГОДСКАЯ ОБЛАСТЬ, ВЫТЕГОРСКИЙ Р-Н, Г. ВЫТЕГРА, УЛ. 25 ОКТЯБРЯ, Д.12;2023;300000;;;;POINT (36.448936 61.008919);25.09.2023
